Ticker,Sector,Industry,Market_Cap,Volume
CACC,Financial Services,Credit Services,6158976000,63320
ATSG,Industrials,Airlines,1466775936,1157103
ASB,Financial Services,Banks - Regional,4159474944,1822142
AROW,Financial Services,Banks - Regional,454402304,41323
ARCB,Industrials,Trucking,2212255488,267798
AMRK,Financial Services,Capital Markets,667556800,262023
AAOI,Technology,Communication Equipment,1335581312,3424718
USAP,Basic Materials,Steel,423582208,183373
AOSL,Technology,Semiconductors,1016288256,849425
AMWD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1157208704,157988
ALLY,Financial Services,Credit Services,11390971904,3294425
ABR,Real Estate,REIT - Mortgage,2572626688,2166630
ABCB,Financial Services,Banks - Regional,4614473216,398469
RAIL,Industrials,Railroads,225216480,231347
MITT,Real Estate,REIT - Mortgage,210699968,261469
HASI,Real Estate,Real Estate Services,3355873280,1104191
ATR,Healthcare,Medical Instruments & Supplies,9493534720,313979
ASC,Industrials,Marine Shipping,450362208,840884
ACNB,Financial Services,Banks - Regional,435000256,23344
AAT,Real Estate,REIT - Diversified,1731190272,297276
KALU,Basic Materials,Aluminum,1163001472,91666
HOMB,Financial Services,Banks - Regional,6063911936,1005274
ATLC,Financial Services,Credit Services,876522432,59244
ALLE,Industrials,Security & Protection Services,11574635520,774932
AHH,Real Estate,REIT - Diversified,976096832,756576
AGM,Financial Services,Credit Services,2098585088,37567
NOA,Energy,Oil & Gas Equipment & Services,503006240,53242
CRMT,Consumer Cyclical,Auto & Truck Dealerships,422121024,110515
GABC,Financial Services,Banks - Regional,1516515072,109188
AMRC,Industrials,Engineering & Construction,1000608640,344577
VLRS,Industrials,Airlines,890866240,582008
ATAI,Healthcare,Biotechnology,380910528,2356642
RYAM,Basic Materials,Chemicals,479867040,412866
FWRD,Industrials,Integrated Freight & Logistics,877318272,524922
ASTE,Industrials,Farm & Heavy Construction Machinery,752231424,155150
FTAI,Industrials,Rental & Leasing Services,11067195392,2781845
MOG-A,Industrials,Aerospace & Defense,5968036864,162786
ASPN,Industrials,Building Products & Equipment,738425664,1777347
FMAO,Financial Services,Banks - Regional,361803808,21547
BA,Industrials,Aerospace & Defense,1.39E+11,9414959
BP,Energy,Oil & Gas Integrated,91442651136,10942037
BBY,Consumer Cyclical,Specialty Retail,19064188928,3062991
USB,Financial Services,Banks - Regional,73928400896,8169789
YUM,Consumer Cyclical,Restaurants,41511960576,1872383
BTU,Energy,Thermal Coal,2077650048,2957374
FITB,Financial Services,Banks - Regional,29192239104,4412130
BHP,Basic Materials,Other Industrial Metals & Mining,1.31E+11,2224584
LB,Energy,Oil & Gas Equipment & Services,5314824192,632955
BMO,Financial Services,Banks - Diversified,73338380288,650625
HRB,Consumer Cyclical,Personal Services,7004318208,1300903
CBRL,Consumer Cyclical,Restaurants,1099827072,754628
BCS,Financial Services,Banks - Diversified,55185989632,13809384
TD,Financial Services,Banks - Diversified,1.05E+11,2435745
MTB,Financial Services,Banks - Regional,32709664768,1139588
BXP,Real Estate,REIT - Office,12572972032,1187727
RY,Financial Services,Banks - Diversified,1.69E+11,1028291
HBAN,Financial Services,Banks - Regional,24144959488,16353316
SWK,Industrials,Tools & Accessories,13382976512,1784479
B,Industrials,Specialty Industrial Machinery,2420454400,753469
BWA,Consumer Cyclical,Auto Parts,6429309440,2403223
PBI,Industrials,Integrated Freight & Logistics,1909677440,2049325
BKE,Consumer Cyclical,Apparel Retail,2161948416,469557
CM,Financial Services,Banks - Diversified,58436669440,1035713
SB,Industrials,Marine Shipping,385468576,710281
BPOP,Financial Services,Banks - Regional,7224553472,479142
BGC,Financial Services,Capital Markets,4621449728,2988264
BLDP,Industrials,Specialty Industrial Machinery,446137280,8764433
BBD,Financial Services,Banks - Regional,20530591744,42674120
SAN,Financial Services,Banks - Diversified,89993469952,3326661
FIBK,Financial Services,Banks - Regional,3414733056,630164
EWBC,Financial Services,Banks - Regional,13519757312,891218
EAT,Consumer Cyclical,Restaurants,7114429952,1195474
CFR,Financial Services,Banks - Regional,9235707904,384284
BNS,Financial Services,Banks - Diversified,69638275072,1513935
BCPC,Basic Materials,Specialty Chemicals,5303306240,123359
BOKF,Financial Services,Banks - Regional,7097586688,144679
VLY,Financial Services,Banks - Regional,5537568768,7500623
ONB,Financial Services,Banks - Regional,7611005952,3150532
BJRI,Consumer Cyclical,Restaurants,794470528,242189
TCBI,Financial Services,Banks - Regional,3789630720,439955
IBTX,Financial Services,Banks - Regional,2513928192,281990
IBN,Financial Services,Banks - Regional,1.03E+11,4025933
FFBC,Financial Services,Banks - Regional,2680538880,423813
BZUN,Consumer Cyclical,Internet Retail,209092416,631635
BHE,Technology,Electronic Components,1502510720,250210
SASR,Financial Services,Banks - Regional,1524391296,239835
BYD,Consumer Cyclical,Resorts & Casinos,6900537344,855511
BDC,Technology,Communication Equipment,4614103552,246754
BCO,Industrials,Security & Protection Services,4088884736,243608
BAP,Financial Services,Banks - Regional,14597586944,273933
BAK,Basic Materials,Chemicals,1729133952,1047772
ZION,Financial Services,Banks - Regional,8199447552,1199703
SFBS,Financial Services,Banks - Regional,4861649920,222077
JACK,Consumer Cyclical,Restaurants,752338496,604757
BSBR,Financial Services,Banks - Regional,33493737472,662367
SPB,Consumer Defensive,Household & Personal Products,2066430592,431674
NRIM,Financial Services,Banks - Regional,484388480,47681
LYG,Financial Services,Banks - Regional,48553918464,12529961
IBKR,Financial Services,Capital Markets,99229294592,1408694
BTE,Energy,Oil & Gas E&P,1944700160,19423644
NBHC,Financial Services,Banks - Regional,1635963008,198933
CNOB,Financial Services,Banks - Regional,1035230656,203822
BOH,Financial Services,Banks - Regional,2889128960,372649
BKU,Financial Services,Banks - Regional,3018340352,691767
BH,Consumer Cyclical,Restaurants,746117632,10479
BFAM,Consumer Cyclical,Personal Services,6923218944,513903
BDN,Real Estate,REIT - Office,850323584,2265110
SBLK,Industrials,Marine Shipping,1886272000,2033447
SBCF,Financial Services,Banks - Regional,2511420928,380437
PB,Financial Services,Banks - Regional,7433355264,477932
HTBI,Financial Services,Banks - Regional,655185472,39671
FCNCA,Financial Services,Banks - Regional,28539375616,77557
BWXT,Industrials,Aerospace & Defense,9978315776,851013
BBSI,Industrials,Staffing & Employment Services,1103100544,108876
JBT,Industrials,Specialty Industrial Machinery,3990514688,624967
HDB,Financial Services,Banks - Regional,1.53E+11,2782654
FBP,Financial Services,Banks - Regional,3351120896,991806
EGBN,Financial Services,Banks - Regional,768036864,242079
CBSH,Financial Services,Banks - Regional,8945416192,516639
BUSE,Financial Services,Banks - Regional,1425244800,281254
BRKL,Financial Services,Banks - Regional,1097692288,673489
BANC,Financial Services,Banks - Regional,2675650304,1874481
WASH,Financial Services,Banks - Regional,630067008,215037
WABC,Financial Services,Banks - Regional,1330058368,109349
PPBI,Financial Services,Banks - Regional,2428401920,511676
NBTB,Financial Services,Banks - Regional,2266407168,226216
INBK,Financial Services,Banks - Regional,287947328,31103
IBP,Consumer Cyclical,Residential Construction,4973090304,288637
CIB,Financial Services,Banks - Regional,9995206656,310272
CBU,Financial Services,Banks - Regional,3433953536,218091
CATY,Financial Services,Banks - Regional,3301520896,338252
BVN,Basic Materials,Other Precious Metals & Mining,3369335296,902764
BLMN,Consumer Cyclical,Restaurants,951091200,1712211
NX,Industrials,Building Products & Equipment,1047578816,481698
LOB,Financial Services,Banks - Regional,1583950208,188454
IBCP,Financial Services,Banks - Regional,746812352,100225
CCBG,Financial Services,Banks - Regional,630165952,27167
BXMT,Real Estate,REIT - Mortgage,3409592832,1559837
BFS,Real Estate,REIT - Retail,1286291968,42677
BERY,Consumer Cyclical,Packaging & Containers,8153478656,1727274
TRST,Financial Services,Banks - Regional,637740608,92194
TOWN,Financial Services,Banks - Regional,2779174656,234242
NWBI,Financial Services,Banks - Regional,1669079680,648413
NFBK,Financial Services,Banks - Regional,507120544,181071
MNRO,Consumer Cyclical,Auto Parts,572333056,647786
LBAI,Financial Services,Banks - Regional,875024960,378402
BSRR,Financial Services,Banks - Regional,440167904,46972
BRX,Real Estate,REIT - Retail,8602808320,2272949
BLX,Financial Services,Banks - Regional,1389612416,120549
BLDR,Industrials,Building Products & Equipment,17550462976,1421600
BHLB,Financial Services,Banks - Regional,1373221888,411389
BANF,Financial Services,Banks - Regional,3984318976,106698
RBC,Industrials,Tools & Accessories,11407011840,172193
QSR,Consumer Cyclical,Restaurants,29733027840,1975220
PFBC,Financial Services,Banks - Regional,1203864576,78972
PBT,Energy,Oil & Gas Midstream,514095040,163462
MPB,Financial Services,Banks - Regional,570608960,65247
IBOC,Financial Services,Banks - Regional,4046914048,276950
GSBC,Financial Services,Banks - Regional,702472128,32977
CBAN,Financial Services,Banks - Regional,305200128,52138
BSAC,Financial Services,Banks - Regional,10609510400,214479
BRT,Real Estate,REIT - Residential,336815456,43328
BLBD,Industrials,Farm & Heavy Construction Machinery,1162742912,781503
BBW,Consumer Cyclical,Specialty Retail,510716192,302927
BBDO,Financial Services,Banks - Regional,20530558976,63805
STBA,Financial Services,Banks - Regional,1516985216,164196
SFST,Financial Services,Banks - Regional,295328032,17500
SBSI,Financial Services,Banks - Regional,961495360,121032
OSBC,Financial Services,Banks - Regional,846314240,240591
FNLC,Financial Services,Banks - Regional,286696352,21935
BOOT,Consumer Cyclical,Apparel Retail,4122712576,793159
